FacilityID;FacilityName;Lat;Long;Category;Concentration;cluster;height_07;height_08;height_09;height_10;height_11;height_12;height_13;height_14;height_15;height_16;height_17;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
7074.0;CAL DE CASTILLA S.A.;40.2625175;-3.443039;Cement;14-33%;245;2066000000.0;1451000000.0;988000000.0;922000000.0;799000000.0;608000000.0;405000000.0;386000000.0;507000000.0;560000000.0;735000000.0;136000000.0;121000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110000000.0
7088.0;HYCO (LA POBLA DE MAFUMENT);41.182773499999996;1.2529588333333335;Other;;226;2425000000.0;2332000000.0;2237000000.0;2538000000.0;2262000000.0;2043000000.0;2121000000.0;2230000000.0;2372000000.0;2146000000.0;2357000000.0;364000000.0;369000000.0;349000000.0;360000000.0;290000000.0;368000000.0;439000000.0;343000000.0;326000000.0;324000000.0;380000000.0
7116.0;Szczecińska Energetyka Cieplna Sp. z o.o., Ciepłownia Rejonowa Dąbska;53.39221;14.525685;Power plant(unspecified);3-8%;246;253000000.0;395000000.0;289000000.0;303000000.0;129000000.0;749000000.0;730000000.0;731000000.0;749000000.0;822000000.0;546000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;166000000.0;198000000.0
7118.0;"Zakłady Chemiczne ""POLICE"" S.A.";53.645283;14.541092;Other;;247;1250000000.0;1360000000.0;937000000.0;0.0;1140000000.0;1400000000.0;1460000000.0;1440000000.0;1510000000.0;1360000000.0;1440000000.0;1250000000.0;1360000000.0;937000000.0;0.0;1140000000.0;1400000000.0;1460000000.0;1440000000.0;1510000000.0;1360000000.0;1440000000.0
7119.0;PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddział Zespół Elektrowni Dolna Odra, Elektrownia Szczecin;53.39221;14.525685;Power plant(unspecified);3-8%;246;253000000.0;395000000.0;289000000.0;303000000.0;129000000.0;749000000.0;730000000.0;731000000.0;749000000.0;822000000.0;546000000.0;253000000.0;395000000.0;289000000.0;303000000.0;129000000.0;749000000.0;730000000.0;731000000.0;749000000.0;656000000.0;348000000.0
7120.0;PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddział Zespół Elektrowni Dolna Odra, Elektrownia Pomorzany;53.46221;14.525685;Coal power plant;12-15%;246;713000000.0;738000000.0;807000000.0;730000000.0;750000000.0;774000000.0;712000000.0;646000000.0;739000000.0;469000000.0;399000000.0;713000000.0;738000000.0;807000000.0;730000000.0;750000000.0;774000000.0;712000000.0;646000000.0;739000000.0;469000000.0;399000000.0
7121.0;PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddział Zespół Elektrowni Dolna Odra Elektrownia Dolna Odra;53.205776;14.466333;Coal power plant;12-15%;-1;5600000000.0;5550000000.0;4980000000.0;5650000000.0;5830000000.0;5750000000.0;5260000000.0;4650000000.0;4250000000.0;4450000000.0;3980000000.0;5600000000.0;5550000000.0;4980000000.0;5650000000.0;5830000000.0;5750000000.0;5260000000.0;4650000000.0;4250000000.0;4450000000.0;3980000000.0
7125.0;Termoelektrarna Šoštanj d.o.o.;46.442286;15.053442;Coal power plant;12-15%;248;4910000000.0;4930000000.0;0.0;4780000000.0;4680000000.0;4550000000.0;4360000000.0;3530000000.0;3790000000.0;4150000000.0;4070000000.0;4910000000.0;4930000000.0;0.0;4780000000.0;4680000000.0;4550000000.0;4360000000.0;3530000000.0;3790000000.0;4150000000.0;4070000000.0
7126.0;AarhusKarlshamn Denmark A/S;56.14865504;10.20360923;Other;;-1;103000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7132.0;CENTRALE BG ITALIA POWER DI MELFI;41.0680555;15.7043055;Power plant(unspecified);3-8%;249;287000000.0;282000000.0;283000000.0;284000000.0;288000000.0;0.0;0.0;0.0;129000000.0;121000000.0;102000000.0;287000000.0;282000000.0;283000000.0;284000000.0;288000000.0;0.0;0.0;0.0;0.0;0.0;0.0
7133.0;Centro Olio Val dAgri;40.313611;15.897222;Other;;-1;316000000.0;340000000.0;347000000.0;301000000.0;306000000.0;358000000.0;377000000.0;192000000.0;0.0;481000000.0;610000000.0;316000000.0;340000000.0;347000000.0;301000000.0;306000000.0;358000000.0;377000000.0;192000000.0;0.0;481000000.0;610000000.0
7136.0;TECNOPARCO VALBASENTO SPA;40.4175;16.548611;Power plant(unspecified);3-8%;-1;139000000.0;0.0;127000000.0;113000000.0;0.0;122000000.0;138000000.0;103000000.0;0.0;0.0;0.0;139000000.0;0.0;127000000.0;113000000.0;0.0;122000000.0;138000000.0;103000000.0;0.0;0.0;0.0
7137.0;Italcementi di  Matera;40.675277;16.656944;Cement;14-33%;-1;442000000.0;404000000.0;362000000.0;292000000.0;446000000.0;331000000.0;449000000.0;502000000.0;0.0;543000000.0;499000000.0;442000000.0;404000000.0;362000000.0;292000000.0;446000000.0;331000000.0;449000000.0;502000000.0;0.0;543000000.0;499000000.0
7150.0;Neste Oyj, Naantalin Jalostamo;60.4585;22.0536;Refineries and steam cracker;3-13%;250;412000000.0;417000000.0;395000000.0;397000000.0;406000000.0;307000000.0;341000000.0;322000000.0;292000000.0;312000000.0;363000000.0;412000000.0;417000000.0;395000000.0;397000000.0;406000000.0;307000000.0;341000000.0;322000000.0;292000000.0;312000000.0;363000000.0
7153.0;Turun Seudun Energiantuotanto Oy, Naantalin voimalaitos;60.5285;22.0536;Coal power plant;12-15%;250;1470000000.0;1350000000.0;1350000000.0;1640000000.0;1410000000.0;1300000000.0;1330000000.0;1350000000.0;1110000000.0;1380000000.0;1290000000.0;1470000000.0;1350000000.0;1350000000.0;1640000000.0;1410000000.0;1300000000.0;1330000000.0;1350000000.0;1110000000.0;1380000000.0;1290000000.0
7174.0;SABIC INNOVATIVE PLASTICS ESPAÑA, S. COM. POR A.;37.776219;-1.099456;Other;;251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;113000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;113000000.0;0.0;0.0
7179.0;FÁBRICA DE ALCALÁ DE GUADAIRA (CEMENTOS PORTLAND VALDERRIVAS, S.A.);37.353682;-6.204397;Cement;14-33%;-1;1030000000.0;972000000.0;730000000.0;672000000.0;659000000.0;527000000.0;298000000.0;334000000.0;509000000.0;655000000.0;685000000.0;1030000000.0;972000000.0;730000000.0;672000000.0;659000000.0;527000000.0;298000000.0;334000000.0;509000000.0;655000000.0;685000000.0
